from_vertex_id;to_vertex_id;one_way;weight;geom
6234;6236;FT;108.945053;LINESTRING(37.622162 55.739217,37.621325 55.739115,37.620469 55.738990)
9207;9208;FT;10.578748;LINESTRING(37.691892 55.755154,37.691956 55.755142,37.692042 55.755112)
1096;1097;FT;7.483386;LINESTRING(37.614740 55.770750,37.614758 55.770751,37.614859 55.770756)
25425;25426;FT;58.548861;LINESTRING(37.692478 55.767762,37.692394 55.768022,37.692277 55.768276)
20557;20558;FT;18.649783;LINESTRING(37.591081 55.731360,37.590976 55.731310,37.590848 55.731256)
14787;21824;FT;35.850125;LINESTRING(37.648061 55.746202,37.647925 55.746335,37.647774 55.746481)
4123;4125;FT;24.023877;LINESTRING(37.671674 55.764287,37.671420 55.764373,37.671346 55.764399)
13876;13877;FT;11.170976;LINESTRING(37.611920 55.730207,37.611882 55.730214,37.611746 55.730227)
16470;16472;FT;4.220274;LINESTRING(37.603477 55.762312,37.603447 55.762321,37.603418 55.762330)
20991;20993;FT;23.878565;LINESTRING(37.695261 55.735931,37.695424 55.735916,37.695637 55.735897)
5494;5492;FT;21.785038;LINESTRING(37.590248 55.751019,37.590308 55.751026,37.590588 55.751059)
16572;16570;FT;32.906285;LINESTRING(37.577935 55.773447,37.577864 55.773423,37.577487 55.773291)
15462;15464;FT;7.176554;LINESTRING(37.670644 55.763610,37.670703 55.763633,37.670731 55.763651)
6826;6827;FT;32.398863;LINESTRING(37.645631 55.757495,37.645801 55.757597,37.645991 55.757704)
13767;17951;FT;29.728154;LINESTRING(37.574887 55.751456,37.575023 55.751324,37.575103 55.751219)
23664;23662;FT;8.665164;LINESTRING(37.572393 55.767685,37.572397 55.767721,37.572400 55.767763)
23664;8803;FT;8.101176;LINESTRING(37.572393 55.767685,37.572397 55.767721,37.572332 55.767724)
23664;8804;FT;8.098055;LINESTRING(37.572393 55.767685,37.572397 55.767721,37.572462 55.767719)
21363;21365;FT;11.326186;LINESTRING(37.676423 55.736775,37.676350 55.736865,37.676348 55.736868)
21363;10815;FT;17.723778;LINESTRING(37.676423 55.736775,37.676350 55.736865,37.676253 55.736840)
1500;1501;FT;59.037444;LINESTRING(37.633681 55.767741,37.633651 55.767747,37.632780 55.767899)
20525;20522;FT;14.535390;LINESTRING(37.600906 55.744443,37.600870 55.744424,37.600707 55.744377)
20525;25515;FT;7.716034;LINESTRING(37.600906 55.744443,37.600870 55.744424,37.600943 55.744423)
21074;21076;FT;56.387723;LINESTRING(37.694091 55.729865,37.693805 55.729487,37.693752 55.729395)
6119;6120;FT;34.732251;LINESTRING(37.612330 55.731803,37.612338 55.731958,37.612362 55.732115)
19137;8475;FT;9.645477;LINESTRING(37.685943 55.745197,37.685925 55.745126,37.685914 55.745113)
11839;11840;FT;6.290966;LINESTRING(37.612251 55.747788,37.612246 55.747814,37.612231 55.747843)
22057;22059;FT;18.780946;LINESTRING(37.638232 55.768398,37.638195 55.768372,37.638041 55.768267)
